Year,Short Version (~10 words),Event ,"Topic (ex. activism, tuition, successes, failures) ",Link
1939,The first nuclear fission experiment in the US is conducted in Pupin Hall. ,The first nuclear fission experiment in the US is conducted in a cyclotron in the basement of Pupin Hall. ,Science ,
1987,T freshmen steal 25 grams of uranium-238 using Pupin's tunnels,"Using the tunnels under Pupin Hall, two freshmen steal 25 grams of uranium-238. ",Science ,
2004,Joseph Gordon Levitt drops out of Columbia to resume acting career,Joseph Gordon Levitt drops out of Columbia to resume acting career,,
1924,Men dressed in Ku Klux Klan robes set fire to a cross on South Lawn. ,Twenty men dressed in Ku Klux Klan robes set fire to a 7-foot wooden cross on South Lawn. ,Terrorism,https://columbiaandslavery.columbia.edu/historical-markers/furnald-hall-cross-burning.html
1789,George Washington andJohn Adams attend Commencement Ceremony. ,U.S. President George Washington and Vice President John Adams attend the Commencement Ceremony. ,Columbia College ,
1904,The 116th-Street Columbia University subway station is founded,The 116th-Street Columbia University subway station is founded as part of the New York City Subway line.,,
1966,The Student Homophile League is founded at Columbia.,"The Student Homophile League, the first gay student organization in the country, is founded at Columbia.",,
2015,Barnard becomes the last of the Seven Sisters to accept trans students ,,,
1888,Annie Meyer publishes an essay that leads to the formation of Barnard,"Annie Meyer publishes a 2,500 word essay in The Nation arguing that New York City culture suffers from the lack of a liberal arts college for women. As a result of ongoing advocacy from herself and her associates, Barnard College is founded one year later. ",Barnard College ,https://www.theblueandwhite.org/post/a-department-of-our-own
2018,The Cheryl and Philip Milstein Center for Teaching and Learning opens at Barnard,The Cheryl and Philip Milstein Center for Teaching and Learning opens at Barnard,Barnard,
1983,"Columbia goes co-ed, the final Ivy Leauge to do so ","Columbia goes co-ed, the final Ivy Leauge to do so. ",,https://www.theblueandwhite.org/post/looking-towards-phat-mama 